Source,Input Data,Gold Standard
/synthetic/BPI_2020_Challenge.txt,"After submission by the employee, the request is sent for approval to the travel administration.","After submission by the employee, the request is sent for approval to the travel administration by the employee."
/synthetic/BPI_2020_Challenge.txt,"If approved, the request is then forwarded to the budget owner and after that to the supervisor.","If approved by the travel administration, the request is then forwarded to the budget owner and after that to the supervisor."
/synthetic/BPI_2020_Challenge.txt,Several requests can be submitted independently of each other.,Several requests can be submitted by employees independently of each other.
/synthetic/E_j01.txt,"Based on your job applications, new potential job offers are sent to you.","Based on your job applications, new potential job offers are sent to you by companies."
/synthetic/E_j01.txt,A job interview can be negotiated.,A job interview can be negotiated by you.
/synthetic/E_j04.txt,"As soon as an offer is accepted, all other offers become invalid.","As soon as an offer is accepted by you, all other offers become invalid."
/synthetic/Example_3_8_order2cash.txt,"Once the raw materials have been obtained the warehouse & distribution department takes care of manufacturing the product.","Once the raw materials have been obtained by the warehouse & distribution department, the warehouse & distribution department takes care of manufacturing the product."
/synthetic/G_g03.txt,The setup of your account starts with checking whether you have a battle.net account.,The setup of your account starts with Blizzard checking whether you have a battle.net account.
/synthetic/G_j01.txt,"Up to 10 resources in parallel can be collected, some resources are more urgently needed than others.","Up to 10 resources in parallel can be collected by you, some resources are more urgently needed by you than others."
/synthetic/G_j01.txt,"Whenever some milestones are reached, you are notified.","Whenever some milestones are reached by your bot, you are notified."
/synthetic/M_g01.txt,"When craving a custom 3D model, as a first step you have to instruct an artist to create a project for you.","When you are craving a custom 3D model, as a first step you have to instruct an artist to create a project for you."
/synthetic/M_j02.txt,"After receiving the individual bits and pieces, the interior of the plane is assembled, and the plane is sent on a test flight.","After you received the individual bits and pieces, the interior of the plane is assembled, and the plane is sent on a test flight by you."
/synthetic/M_j02.txt,During the flight you create a test protocol which is sent to you and the customer.,During the flight you create a test protocol which is sent to you and the customer by the plane.
/synthetic/M_j03.txt,"In order to find out which web shop has the right parts, you have to query them all, and find out how much they can deliver, at which price, and how long it will take.","In order for you to find out which web shop has the right parts, you have to query them all, and find out how much they can deliver, at which price, and how long it will take."
/synthetic/M_j03.txt,Create a list of parts that you order from each shop.,You create a list of parts that you order from each shop.
/synthetic/M_j03.txt,Always use the cheapest parts.,You always use the cheapest parts.
/synthetic/M_k05.txt,"After the house is built, you send invitations for a tree house party to your friends.","After the house is built by you, you send invitations for a tree house party to your friends. "
/synthetic/M_k05.txt,"In order to buy the snacks for the party, a list of people that attend the party is created.","In order to buy the snacks for the party, a list of people that attend the party is created by you."
/synthetic/Quince_Harvesting.txt,If it is affected that day's production is interrupted.,If it is affected by codling moth that day's production is interrupted by the manager.
/synthetic/Quince_Harvesting.txt,"In the evening, the supervisor reports the total number of kilos collected and the hours the employees have worked.","In the evening, the supervisor reports the total number of kilos collected by the employees and the hours the employees have worked."
/synthetic/R_g01.txt,"If it worked, send a review and/or video of you fixing it.","If it worked, you send a review and/or video of you fixing it."
/synthetic/R_j02.txt,"After entering the type of the machine, and its serial number, the inspection can begin:","After you enter the type of the machine, and its serial number, the inspection can begin:"
/synthetic/R_j02.txt,"Questions are asked, and you have to input values.","Questions are asked by the application, and you have to input values."
/synthetic/R_j02.txt,"Buttons are to be pressed, and values are automatically collected from the machine and shown to you.","Buttons are to be pressed by you, and values are automatically collected from the machine and shown to you."
/synthetic/R_j02.txt,"Depending on the results, additional questions are asked (or not).","Depending on the results, additional questions are asked by you (or not)."
/synthetic/R_j03.txt,"After your fridge is repaired, you have to confirm that it is OK again","After your fridge is repaired by the service facility, you have to confirm that it is OK again"
/synthetic/R_j04.txt,"If it is registered, you are notified.","If it is registered, you are notified by the app."
/synthetic/R_j04.txt,"If you do not go to the service, you are fined after 30 days.","If you do not go to the service, you are fined by the police after 30 days."
/synthetic/running_example.txt,"Whenever a customer request is received, exactly two clerks from the financial department perform a solvency check.","Whenever a customer request is received by the financial department, exactly two clerks from the financial department perform a solvency check."
/synthetic/running_example.txt,"If the payment schedule has been approved, an email is sent to the customer automatically, otherwise, the customer advisory calls the customer to suggest an alternative.","If the payment schedule has been approved by the manager and another clerk with the role of supervisor, an email is sent to the customer automatically, otherwise, the customer advisory calls the customer to suggest an alternative."
/synthetic/V_k08.txt,"After selecting a product the customer has to add it to a shopping cart, save the product and check if every product was already selected.","After the customer selects a product the customer has to add it to a shopping cart, save the product and check if every product was already selected."
/synthetic/V_k08.txt,These steps repeat until all products were selected.,These steps repeat until all products were selected by the customer.
/synthetic/V_k08.txt,While waiting for the payment confirmation the customer can enter its shipping address,While the customer waits for the payment confirmation the customer can enter its shipping address
/synthetic/V_k08.txt,Finally if the address and the payment steps are executed then the order will be finished by the system.,Finally if the address and the payment steps are executed by the customer then the order will be finished by the system.
/synthetic/X_g01.txt,Select one.,You select one.
/synthetic/X_g01.txt,"If you are, register your account.","If you are, you register your account."
/synthetic/X_g01.txt,"If you are not, request an activation and wait for a response.","If you are not, you request an activation and wait for a response."
/synthetic/X_g01.txt,"As soon as you have an account, log into it.","As soon as you have an account, you log into it."
/real_world/gdpr_text/article5.txt,"Personal data shall be processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’).","Personal data shall be processed by the controller lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’)."
/real_world/gdpr_text/article5.txt,"Personal data shall be collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes.","Personal data shall be collected by the controller for specified, explicit and legitimate purposes and not further processed by the controller in a manner that is incompatible with those purposes."
/real_world/gdpr_text/article5.txt,"further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’).","further processing by the controller for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’)."
/real_world/gdpr_text/article5.txt,"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’).","Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed by the controller (‘data minimisation’)."
/real_world/gdpr_text/article5.txt,"Personal data shall be accurate and, where necessary, kept up to date.","Personal data shall be accurate and, where necessary, kept up to date by the controller."
/real_world/gdpr_text/article5.txt,"every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’).","every reasonable step must be taken by the controller to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’)."
